Name,Official Website
3M,http://news.3m.com/press-release/company/3m-completes-acquisition-arizant-inc
A. O. Smith,http://dmliefer.ru/content/ao-smith-century-electric
Abbott,
AbbVie,http://www.streetinsider.com/Corporate+News/AbbVie+(ABBV)+Announces+Completion+of+Pharmacyclics+Acquisition/10594347.html
Accenture,https://newsroom.accenture.com/fact-sheet/
Activision Blizzard,http://patentarcade.com/2019/02/worlds-inc-v-bungie-inc.html
ADM,
Adobe Inc.,https://authority.bibsys.no/authority/rest/authorities/html/90345785
ADP,
Advance Auto Parts,https://corp.advanceautoparts.com/about/history.asp
AES Corporation,http://aes.com/
Aflac,https://www.aflac.com/about-aflac/our-company/our-history.aspx
Agilent Technologies,http://www.hpalumni.org/hp_history.htm
Air Products and Chemicals,http://www.prnewswire.com/news-releases/air-products-named-a-maplecroft-climate-innovation-indexes-ciis-leader-82724847.html
Akamai,http://www.akamai.com/dl/technical_publications/network_overview_osr.pdf
Alaska Air Group,http://www.alaskaair.com/as/www2/company/Fleet/Fleet.asp
Albemarle Corporation,http://edgar.secdatabase.com/2553/91591399000005/filing-main.htm
Alexandria Real Estate Equities,https://www.xconomy.com/new-york/2016/06/08/alexandria-sets-up-incubator-25m-seed-fund-for-ny-bio-startups/
Align Technology,https://www.wsj.com/articles/SB98053025851761714
Allegion,http://investor.allegion.com/releasedetail.cfm?releaseid=817818
Alliant Energy,https://alliantenergy.wordpress.com/2016/04/04/thinking-of-driving-an-electric-vehicle/
Allstate,http://www.allstatenewsroom.com/channels/History-and-Timeline/pages/history-timeline
Alphabet Inc. (Class A),https://www.wikidata.org/wiki/Q20800404#identifiers
Alphabet Inc. (Class C),https://www.wikidata.org/wiki/Q20800404#identifiers
Altria,http://www.altria.com/contact_us/default.asp?src=home
Amazon,https://www.businessinsider.com/amazon-employees-number-1-of-153-us-workers-head-count-2021-7
Amcor,http://www.newstatesman.com/business-food-and-drink/2010/02/businesses-global-amcor
AMD,https://books.google.com/books?id=i3MLYUjRWisC&pg=SA4-PA36
